Number,Order,Title,Author,Doctors,Featuring,Date
75,8X,Scaredy Cat,Will Shindler,8th,"Charley, C'rizz",October 2005
76,6PC,Singularity,James Swallow,5th,Turlough,November 2005
77,8Y,Other Lives,Gary Hopkins,8th,"Charley, C'rizz",December 2005
78,7CMA,Pier Pressure,Robert Ross,6th,Evelyn,January 2006
79,7WC,Night Thoughts,Edward Young,7th,"Ace, Hex",February 2006
80,8YA,Time Works,Steve Lyons,8th,"Charley, C'rizz",March 2006
81,6QI,The Kingmaker,Nev Fountain,5th,"Peri, Erimem",April 2006
82,7WD,The Settling,Simon Guerrier,7th,"Ace, Hex",May 2006
83,8YB,Something Inside,Trevor Baxendale,8th,"Charley, C'rizz",June 2006
84,7CMB,The Nowhere Place,Nicholas Briggs,6th,Evelyn,July 2006
85,7DB,Red,Stewart Sheargold,7th,Mel,August 2006
86,6ZC,The Reaping,Joseph Lidster,6th,"Peri, Cybermen",September 2006
87,6QJ,The Gathering,Joseph Lidster,5th,"Tegan, Cybermen",September 2006
88,8YC,Memory Lane,Eddie Robson,8th,"Charley, C'rizz",October 2006
89,7WE,No Man's Land,Martin Day,7th,"Ace, Hex",November 2006
90,6YA,Year of the Pig,Matthew Sweet,6th,Peri,December 2006
91,6CH,"Circular Time
""Spring""
""Summer""
""Autumn""
""Winter""","Paul Cornell
Mike Maddox",5th,"Nyssa, Kamelion",January 2007
92,7WF,Nocturne,Dan Abnett,7th,"Ace, Hex",February 2007
93,6CI,Renaissance of the Daleks,from a story byChristopher H. Bidmead,5th,"Nyssa, Daleks",March 2007
94,7C preAA,"I.D. &
Urgent Calls",Eddie Robson,6th,,April 2007
95,6QAA,"Exotron &
Urban Myths",Paul Sutton,5th,Peri,May 2007
96,7ZA,Valhalla,Marc Platt,7th,,June 2007
97,7CV,"The Wishing Beast &
The Vanity Box",Paul Magrs,6th,Mel,July 2007
98,7ZB,Frozen Time,Nicholas Briggs,7th,Ice Warriors,August 2007
99,6QK,Son of the Dragon,Steve Lyons,5th,"Peri, Erimem",September 2007
100,7CMC,"100
""100 BC""
""My Own Private Wolfgang""
""Bedtime Story""
""The 100 Days of the Doctor""","Jacqueline Rayner
Rob Shearman
Joseph Lidster
Paul Cornell",6th,Evelyn,September 2007
101,8YD,Absolution,Scott Alan Woodard,8th,"Charley, C'rizz",October 2007
102,"6QL &
6QN","The Mind's Eye &
Mission of the Viyrans","Colin Brake &
Nicholas Briggs",5th,"Peri, Erimem &
Peri, Viyrans",November 2007
103,8YE,The Girl Who Never Was,Alan Barnes,8th,"Charley, Cybermen",December 2007
104,6QM,The Bride of Peladon,Barnaby Edwards,5th,"Peri, Erimem, Ice Warriors, Osiran",January 2008
105,7CPA,The Condemned,Eddie Robson,6th,"Charley, DI Menzies",February 2008
106,7WG,The Dark Husband,David Quantick,7th,"Ace, Hex",March 2008
107,6CK,The Haunting of Thomas Brewster,Jonathan Morris,5th,"Nyssa, Brewster",April 2008
108,7CMD,Assassin in the Limelight,Robert Ross,6th,Evelyn,May 2008
109,7ZC,"The Death Collectors &
Spider's Shadow",Stewart Sheargold,7th,,June 2008
110,6CL,The Boy That Time Forgot,Paul Magrs,5th,"Nyssa, Brewster, Adric",July 2008
111,7CPB,The Doomwood Curse,Jacqueline Rayner,6th,Charley,August 2008
112,7ZD,"Kingdom of Silver &
Keepsake",James Swallow,7th,Cybermen,September 2008
113,6CM,"Time Reef &
A Perfect World","Marc Platt &
Jonathan Morris",5th,"Nyssa, Brewster",September 2008
114,7CPC,Brotherhood of the Daleks,Alan Barnes,6th,"Charley, Daleks, Thals",October 2008
115,7WH,"Forty Five
""False Gods""
""Order of Simplicity""
""Casualties of War""
""The Word Lord""","Mark Morris
Nick Scovell
Mark Michalowski
Steven Hall",7th,"Ace, Hex, Nobody No-One",November 2008
116,7CPE,The Raincloud Man,Eddie Robson,6th,"Charley, DI Menzies",December 2008
117,6RA,"The Judgement of Isskar
Key2Time, Part 1",Simon Guerrier,5th,"Amy, Zara, Ice Warriors",January 2009
118,6RB,"The Destroyer of Delights
Key2Time, Part 2",Jonathan Clements,5th,"Amy, Black Guardian, White Guardian",February 2009
119,6RC,"The Chaos Pool
Key2Time, Part 3",Peter Anghelides,5th,"Amy, Zara, Black Guardian, White Guardian, Romana II",March 2009
120,7WJ,The Magic Mousetrap,Matthew Sweet,7th,"Ace, Hex, Celestial Toymaker",April 2009
121,7WK,Enemy of the Daleks,David Bishop,7th,"Ace, Hex, Daleks",May 2009
122,7WL,The Angel of Scutari,Paul Sutton,7th,"Ace, Hex",June 2009
123,8Z,"The Company of Friends
""Benny's Story""
""Fitz's Story""
""Izzy's Story""
""Mary's Story""","Lance Parkin
Stephen Cole
Alan Barnes
Jonathan Morris",8th,"~ Benny
~ Fitz
~ Izzy
~ Mary Shelley",July 2009
124,7CPF,Patient Zero,Nicholas Briggs,6th,"Charley, Mila, Daleks, Viyrans",August 2009
125,7CPG,Paper Cuts,Marc Platt,6th,"Charley, Mila, Draconians",September 2009
126,7CPH,Blue Forgotten Planet,Nicholas Briggs,6th,"Charley, Mila, Viyrans",Late September 2009
127,6CN,Castle of Fear,Alan Barnes,5th,"Nyssa, Rutans",October 2009
128,6CO,The Eternal Summer,Jonathan Morris,5th,"Nyssa,
Maxwell Edison",November 2009
129,6CP,Plague of the Daleks,Mark Morris,5th,"Nyssa, Daleks",December 2009
130,7ZE,A Thousand Tiny Wings,Andy Lane,7th,Klein,January 2010
131,"7ZG &
7ZF","Survival of the Fittest &
Klein's Story","Jonathan Clements
John Ainsworth & Lee Mansfield","7th
7th, 8th",Klein,February 2010
132,7ZH,The Architects of History,Steve Lyons,7th,"Klein, Rachel Cooper",March 2010
133,7CPI,City of Spires,Simon Bovey,6th,Jamie,April 2010
134,7CPJ,The Wreck of the Titan,Barnaby Edwards,6th,Jamie,May 2010
135,7CPK,Legend of the Cybermen,Mike Maddox,6th,"Jamie, Zoe, Cybermen",June 2010
136,6HA,Cobwebs,Jonathan Morris,5th,"Nyssa, Tegan, Turlough",July 2010
137,6HB,The Whispering Forest,Stephen Cole,5th,"Nyssa, Tegan, Turlough",August 2010
138,6HC,The Cradle of the Snake,Marc Platt,5th,"Nyssa, Tegan, Turlough, Mara",September 2010
139,7WM,Project: Destiny,Cavan Scott & Mark Wright,7th,"Ace, Hex, Nimrod, Aristedes",September 2010
140,7WN,A Death in the Family,Steven Hall,7th,"Ace, Hex, Evelyn, Nobody No-One",October 2010
141,7WO,Lurkers at Sunlight's Edge,Marty Ross,7th,"Ace, Hex",November 2010
142,6CQ,"The Demons of Red Lodge and Other Stories
""The Demons of Red Lodge""
""The Entropy Composition""
""Doing Time""
""Special Features""","Jason Arnopp
Rick Briggs
William Gallagher
John Dorney",5th,Nyssa,December 2010
143,7CNA,The Crimes of Thomas Brewster,Jonathan Morris,6th,"Evelyn, Brewster, Flip, DI Menzies",January 2011
144,7CNB,The Feast of Axos,Mike Maddox,6th,"Evelyn, Brewster, Axos",February 2011
145,7CNC,Industrial Evolution,Eddie Robson,6th,"Evelyn, Brewster",March 2011
146,6HD,Heroes of Sontar,Alan Barnes,5th,"Nyssa, Tegan, Turlough,Sontarans",April 2011
147,6HE,Kiss of Death,Stephen Cole,5th,"Nyssa, Tegan, Turlough",May 2011
148,6HF,Rat Trap,Tony Lee,5th,"Nyssa, Tegan, Turlough",June 2011
149,7WP (7ZAA)***,Robophobia,Nicholas Briggs,7th,Voc Robots,July 2011
150,6ZAA,"Recorded Time and Other Stories
""Recorded Time""
""Paradoxicide""
""A Most Excellent Match""
""Question Marks""","Catherine Harvey
Richard Dinnick
Matt Fitton
Philip Lawrence",6th,Peri,August 2011
151,7WQ (7ZAB)***,The Doomsday Quatrain,Emma Beeby & Gordon Rennie,7th,,September 2011
